"District__c","District_Id__c"
"Aurangabad","397.0"
"Ayodhya","646.0"
"Azamgarh","629.0"
"BBMP","294.0"
"Badaun","630.0"
"Bagalkot","270.0"
"Bageshwar","707.0"
"Baghpat","631.0"
"Bahraich","632.0"
"Baksa","46.0"
"Balaghat","338.0"
"Balangir","448.0"
"Balarampur","633.0"
"Balasore","447.0"
"Ballia","634.0"
"Balod","110.0"
"Baloda bazar","111.0"
"Balrampur","112.0"
"Banaskantha","159.0"
"Banda","635.0"
"Bandipore","223.0"
"Bangalore Rural","276.0"
"Bangalore Urban","265.0"
"Banka","83.0"
"Bankura","711.0"
"Banswara","519.0"
"Barabanki","636.0"
"Baramulla","225.0"
"Baran","516.0"
"Bareilly","637.0"
"Bargarh","472.0"
"Barmer","528.0"
"Barnala","483.0"
"Barpeta","47.0"
"Barwani","343.0"
"Basirhat HD (North 24 Parganas)","712.0"
"Bastar","113.0"
"Basti","638.0"
"Bathinda","493.0"
"Beed","384.0"
"Begusarai","98.0"
"Belgaum","264.0"
"Bellary","274.0"
"Bemetara","114.0"
"Betul","362.0"
"Bhadohi","687.0"
"Bhadradri Kothagudem","583.0"
"Adilabad","582.0"
"Agar","320.0"
"Agatti Island","796.0"
"Agra","622.0"
"Ahmedabad","154.0"
"Ahmedabad Corporation","770.0"
"Ahmednagar","391.0"
"Aizawl East","425.0"
"Aizawl West","426.0"
"Ajmer","507.0"
"Akola","364.0"
"Alappuzha","301.0"
"Aligarh","623.0"
"Alipurduar District","710.0"
"Alirajpur","357.0"
"Almora","704.0"
"Alwar","512.0"
"Ambala","193.0"
"Ambedkar Nagar","625.0"
"Amethi","626.0"
"Amravati","366.0"
"Amreli","174.0"
"Amritsar","485.0"
"Amroha","627.0"
"Anand","179.0"
"Anantapur","9.0"
"Anantnag","224.0"
"Angul","445.0"
"Anjaw","22.0"
"Anuppur","334.0"
"Aranthangi","779.0"
"Araria","74.0"
"Aravalli","158.0"
"Ariyalur","555.0"
"Arwal","78.0"
"Ashoknagar","354.0"
"Attur","578.0"
"Auraiya","628.0"
"Aurangabad","77.0"
"Bhadrak","454.0"
"Bhagalpur","82.0"
"Bhandara","370.0"
"Bharatpur","508.0"
"Bharuch","180.0"
"Bhavnagar","175.0"
"Bhavnagar Corporation","771.0"
"Bhilwara","523.0"
"Bhind","351.0"
"Bhiwani","200.0"
"Bhojpur","99.0"
"Bhopal","312.0"
"Bidar","272.0"
"Bijapur","115.0"
"Bijnour","639.0"
"Bikaner","501.0"
"Bilaspur","116.0"
"Bilaspur","219.0"
"Birbhum","713.0"
"Bishnupur","398.0"
"Bishnupur HD (Bankura)","714.0"
"Biswanath","765.0"
"Bokaro","242.0"
"Bongaigaon","57.0"
"Botad","176.0"
"Boudh","468.0"
"Budgam","229.0"
"Bulandshahr","640.0"
"Buldhana","367.0"
"Bundi","514.0"
"Burhanpur","342.0"
"Buxar","100.0"
"COOCHBEHAR","783.0"
"Cachar","66.0"
"Central Delhi","141.0"
"Chamarajanagar","271.0"
"Chamba","791.0"
"Chamba","214.0"
"Chamoli","699.0"
"Champawat","708.0"
"Champhai","429.0"
"Chandauli","641.0"
"Chandel","399.0"
"Chandigarh","108.0"
"Chandrapur","380.0"
"Changlang","20.0"
"Charaideo","766.0"
"Charkhi Dadri","201.0"
"Chatra","245.0"
"Chengalpet","565.0"
"Chennai","571.0"
"Cheyyar","778.0"
"Chhatarpur","328.0"
"Chhindwara","337.0"
"Chhotaudepur","181.0"
"Chikamagalur","273.0"
"Chikkaballapur","291.0"
"Chirang","58.0"
"Chitradurga","268.0"
"Chitrakoot","642.0"
"Chittoor","10.0"
"Chittorgarh","521.0"
"Churachandpur","400.0"
"Churu","530.0"
"Coimbatore","539.0"
"Kanpur Nagar","664.0"
"Kanyakumari","544.0"
"Kapurthala","479.0"
"Karaikal","476.0"
"Karauli","525.0"
"Karbi-Anglong","51.0"
"Kargil","309.0"
"Karimganj","69.0"
"Karimnagar","589.0"
"Karnal","203.0"
"Karur","559.0"
"Kasaragod","295.0"
"Kasganj","665.0"
"Kathua","234.0"
"Katihar","75.0"
"Katni","353.0"
"Kaushambi","666.0"
"Kawardha","135.0"
"Kendrapara","461.0"
"Kendujhar","455.0"
"Khagaria","101.0"
"Khammam","590.0"
"Khandwa","339.0"
"Khargone","344.0"
"Kheda","156.0"
"Khowai","616.0"
"Khunti","252.0"
"Khurda","446.0"
"Kinnaur","216.0"
"Kinnaur","792.0"
"Kiphire","444.0"
"Kishanganj","76.0"
"Kishtwar","231.0"
"Kodagu","283.0"
"Koderma","241.0"
"Kohima","441.0"
"Kokrajhar","61.0"
"Kolar","277.0"
"Kolasib","428.0"
"Kolhapur","371.0"
"Kolkata","725.0"
"Kollam","298.0"
"Kondagaon","124.0"
"Koppal","282.0"
"Koraput","451.0"
"Korba","125.0"
"Koriya","126.0"
"Kota","503.0"
"Kottayam","304.0"
"Kovilpatti","780.0"
"Kozhikode","305.0"
"Kra Daadi","27.0"
"Krishna","4.0"
"Krishnagiri","562.0"
"Kulgam","221.0"
"Kullu","211.0"
"Kumuram Bheem","591.0"
"Kupwara","226.0"
"Kurnool","7.0"
"Kurukshetra","186.0"
"Kurung Kumey","21.0"
"Kushinagar","667.0"
"Kutch","170.0"
"Lahaul Spiti","210.0"
"Lakhimpur","63.0"
"Lakhimpur Kheri","668.0"
"Lakhisarai","84.0"
"Lakshadweep","311.0"
"Lalitpur","669.0"
"Latehar","244.0"
"Latur","383.0"
"Lawngtlai","432.0"
"Leh","310.0"
"Lepa Rada","33.0"
"Lohardaga","250.0"
"Lohit","29.0"
"Longding","40.0"
"Longleng","438.0"
"Lower Dibang Valley","31.0"
"Lower Siang","18.0"
"Lower Subansiri","32.0"
"Lucknow","670.0"
"Ludhiana","488.0"
"Lunglei","431.0"
"Madhepura","70.0"
"Madhubani","95.0"
"Madurai","540.0"
"Mahabubabad","592.0"
"Mahabubnagar","593.0"
"Maharajganj","671.0"
"Mahasamund","127.0"
"Mahe","477.0"
"Mahendragarh","206.0"
"Ramanathapuram","567.0"
"Ramban","235.0"
"Ramgarh","254.0"
"Rampur","683.0"
"Rampurhat HD (Birbhum)","734.0"
"Ranchi","240.0"
"Rangareddy","603.0"
"Ranipet","781.0"
"Ratlam","322.0"
"Ratnagiri","372.0"
"Rayagada","471.0"
"Reasi","239.0"
"Rewa","316.0"
"Rewari","202.0"
"Ri-Bhoi","417.0"
"Rohtak","192.0"
"Rohtas","81.0"
"Rudraprayag","700.0"
"Rup Nagar","497.0"
"SAS Nagar","496.0"
"SBS Nagar","500.0"
"Sabarkantha","162.0"
"Sagar","317.0"
"Saharanpur","684.0"
"Saharsa","71.0"
"Sahebganj","260.0"
"Salem","545.0"
"Samastipur","96.0"
"Samba","236.0"
"Sambalpur","452.0"
"Sambhal","685.0"
"Sangareddy","604.0"
"Sangli","373.0"
"Sangrur","498.0"
"Sant Kabir Nagar","686.0"
"Saran","102.0"
"Satara","376.0"
"Satna","333.0"
"Sawai Madhopur","534.0"
"Sehore","356.0"
"Senapati","403.0"
"Seoni","349.0"
"Sepahijala","618.0"
"Seraikela Kharsawan","248.0"
"Serchhip","430.0"
"Shahdara","148.0"
"West Singhbhum","263.0"
"West Tripura","621.0"
"Wokha","436.0"
"YSR District, Kadapa (Cuddapah)","6.0"
"Yadadri Bhuvanagiri","611.0"
"Yadgir","285.0"
"Yamunanagar","197.0"
"Yanam","478.0"
"Yavatmal","368.0"
"Zunheboto","442.0"
"Cooch Behar","715.0"
"Cuddalore","547.0"
"Cuttack","457.0"
"Dadra and Nagar Haveli","137.0"
"Dahod","182.0"
"Dakshin Dinajpur","716.0"
"Dakshina Kannada","269.0"
"Daman","138.0"
"Damoh","327.0"
"Dang","163.0"
"Dantewada","117.0"
"Darbhanga","94.0"
"Darjeeling","717.0"
"Darrang","48.0"
"Datia","350.0"
"Dausa","511.0"
"Davanagere","275.0"
"Dehradun","697.0"
"Deogarh","473.0"
"Deoghar","253.0"
"Deoria","643.0"
"Devbhumi Dwaraka","168.0"
"Dewas","324.0"
"Dhalai","614.0"
"Dhamtari","118.0"
"Dhanbad","257.0"
"Dhar","341.0"
"Dharmapuri","566.0"
"Dharwad","278.0"
"Dhemaji","62.0"
"Dhenkanal","458.0"
"Dholpur","524.0"
"Dhubri","59.0"
"Dhule","388.0"
"Diamond Harbor HD (S 24 Parganas)","718.0"
"Dibang Valley","25.0"
"Dibrugarh","43.0"
"Dima Hasao","67.0"
"Dimapur","434.0"
"Dindigul","556.0"
"Dindori","336.0"
"Diu","139.0"
"Doda","232.0"
"Dumka","258.0"
"Dungarpur","520.0"
"Durg","119.0"
"East Bardhaman","719.0"
"East Champaran","105.0"
"East Delhi","145.0"
"East Garo Hills","424.0"
"East Godavari","11.0"
"East Jaintia Hills","418.0"
"East Kameng","23.0"
"East Khasi Hills","414.0"
"East Siang","42.0"
"East Sikkim","535.0"
"East Singhbhum","247.0"
"Ernakulam","307.0"
"Erode","563.0"
"Etah","644.0"
"Etawah","645.0"
"Faridabad","199.0"
"Faridkot","499.0"
"Farrukhabad","647.0"
"Fatehabad","196.0"
"Fatehgarh Sahib","484.0"
"Fatehpur","648.0"
"Fazilka","487.0"
"Ferozpur","480.0"
"Firozabad","649.0"
"Gadag","280.0"
"Gadchiroli","379.0"
"Gajapati","467.0"
"Ganderbal","228.0"
"Gandhinagar","153.0"
"Gandhinagar Corporation","772.0"
"Ganjam","449.0"
"Garhwa","243.0"
"Gariaband","120.0"
"Gaurela Pendra Marwahi","136.0"
"Gautam Buddha Nagar","650.0"
"Gaya","79.0"
"Ghaziabad","651.0"
"Ghazipur","652.0"
"Gir Somnath","177.0"
"Giridih","256.0"
"Goalpara","60.0"
"Godda","262.0"
"Golaghat","53.0"
"Gomati","615.0"
"Gonda","653.0"
"Gondia","378.0"
"Mahisagar","183.0"
"Mahoba","672.0"
"Mainpuri","673.0"
"Majuli","767.0"
"Malappuram","302.0"
"Malda","726.0"
"Malkangiri","469.0"
"Mamit","427.0"
"Mancherial","594.0"
"Mandi","793.0"
"Mandi","215.0"
"Mandla","335.0"
"Mandsaur","319.0"
"Mandya","290.0"
"Mansa","482.0"
"Mathura","674.0"
"Mau","675.0"
"Mayurbhanj","456.0"
"Medak","595.0"
"Medchal","596.0"
"Meerut","676.0"
"Mehsana","160.0"
"Mirzapur","677.0"
"Moga","491.0"
"Mokokchung","437.0"
"Mon","439.0"
"Moradabad","678.0"
"Morbi","171.0"
"Morena","347.0"
"Morigaon","55.0"
"Mulugu","612.0"
"Mumbai","395.0"
"Mungeli","128.0"
"Munger","85.0"
"Murshidabad","727.0"
"Muzaffarnagar","679.0"
"Muzaffarpur","86.0"
"Mysore","266.0"
"Nabarangpur","470.0"
"Nadia","728.0"
"Nagaon","56.0"
"Nagapattinam","576.0"
"Nagarkurnool","597.0"
"Nagaur","532.0"
"Nagpur","365.0"
"Nainital","709.0"
"Nalanda","90.0"
"Shahdol","332.0"
"Shahjahanpur","688.0"
"Shajapur","321.0"
"Shamli","689.0"
"Sheikhpura","93.0"
"Sheohar","87.0"
"Sheopur","346.0"
"Shi Yomi","35.0"
"Shimla","208.0"
"Shimla","794.0"
"Shimoga","287.0"
"Shivpuri","345.0"
"Shopian","222.0"
"Shravasti","690.0"
"Siaha","433.0"
"Siang","37.0"
"Siddharthnagar","691.0"
"Siddipet","605.0"
"Sidhi","331.0"
"Sikar","513.0"
"Simdega","249.0"
"Sindhudurg","374.0"
"Singrauli","330.0"
"Sirmaur","212.0"
"Sirohi","531.0"
"Sirsa","194.0"
"Sitamarhi","88.0"
"Sitapur","692.0"
"Sivaganga","561.0"
"Sivakasi","580.0"
"Sivasagar","44.0"
"Siwan","103.0"
"Solan","209.0"
"Solapur","375.0"
"Sonbhadra","693.0"
"Sonipat","198.0"
"Sonitpur","64.0"
"South 24 Parganas","735.0"
"South Andaman","2.0"
"South Delhi","149.0"
"South East Delhi","144.0"
"South Garo Hills","421.0"
"South Goa","152.0"
"South Salmara Mankachar","768.0"
"South Sikkim","538.0"
"South Tripura","619.0"
"Gopalganj","104.0"
"Gorakhpur","654.0"
"Gulbarga","267.0"
"Gumla","251.0"
"Guna","348.0"
"Guntur","5.0"
"Gurdaspur","489.0"
"Gurgaon","188.0"
"Gwalior","313.0"
"Hailakandi","68.0"
"Hamirpur","655.0"
"Hamirpur","217.0"
"Hanumangarh","517.0"
"Hapur","656.0"
"Harda","361.0"
"Hardoi","657.0"
"Haridwar","702.0"
"Hassan","289.0"
"Hathras","658.0"
"Haveri","279.0"
"Hazaribagh","255.0"
"Hingoli","386.0"
"Hisar","191.0"
"Hojai","764.0"
"Hoogly","720.0"
"Hoshangabad","360.0"
"Hoshiarpur","481.0"
"Howrah","721.0"
"Hyderabad","581.0"
"Idukki","306.0"
"Imphal East","401.0"
"Imphal West","402.0"
"Indore","314.0"
"Itanagar Capital Complex","17.0"
"Jabalpur","315.0"
"Jagatsinghpur","459.0"
"Jagtial","584.0"
"Jaipur I","505.0"
"Jaipur II","506.0"
"Jaisalmer","527.0"
"Jajpur","460.0"
"Jalandhar","492.0"
"Jalaun","659.0"
"Jalgaon","390.0"
"Jalna","396.0"
"Jalore","533.0"
"Jalpaiguri","722.0"
"Jammu","230.0"
"Jamnagar","169.0"
"Jamnagar Corporation","773.0"
"Jamtara","259.0"
"Jamui","107.0"
"Jangaon","585.0"
"Janjgir-Champa","121.0"
"Jashpur","122.0"
"Jaunpur","660.0"
"Jayashankar Bhupalpally","586.0"
"Jehanabad","91.0"
"Jhabua","340.0"
"Jhajjar","189.0"
"Jhalawar","515.0"
"Jhansi","661.0"
"Jhargram","723.0"
"Jharsuguda","474.0"
"Jhunjhunu","510.0"
"Jind","204.0"
"Jiribam","410.0"
"Jodhpur","502.0"
"Jogulamba Gadwal","587.0"
"Jorhat","54.0"
"Junagadh","178.0"
"Junagadh Corporation","774.0"
"Kaimur","80.0"
"Kaithal","190.0"
"Kakching","413.0"
"Kalahandi","464.0"
"Kalimpong","724.0"
"Kallakurichi","552.0"
"Kamareddy","588.0"
"Kamjong","409.0"
"Kamle","24.0"
"Kamrup Metropolitan","49.0"
"Kamrup Rural","50.0"
"Kanchipuram","557.0"
"Kandhamal","450.0"
"Kangpokpi","408.0"
"Kangra","795.0"
"Kangra","213.0"
"Kanker","123.0"
"Kannauj","662.0"
"Kannur","297.0"
"Kanpur Dehat","663.0"
"Nalbari","52.0"
"Nalgonda","598.0"
"Namakkal","558.0"
"Namsai","36.0"
"Nanded","382.0"
"Nandigram HD (East Medinipore)","729.0"
"Nandurbar","387.0"
"Narayanpet","613.0"
"Narayanpur","129.0"
"Narmada","184.0"
"Narsinghpur","352.0"
"Nashik","389.0"
"Navsari","164.0"
"Nawada","92.0"
"Nayagarh","462.0"
"Neemuch","323.0"
"New Delhi","140.0"
"Nicobar","3.0"
"Nilgiris","577.0"
"Nirmal","599.0"
"Nizamabad","600.0"
"Noney","412.0"
"North 24 Parganas","730.0"
"North Delhi","146.0"
"North East Delhi","147.0"
"North Garo Hills","423.0"
"North Goa","151.0"
"North Sikkim","537.0"
"North Tripura","617.0"
"North West Delhi","143.0"
"North and Middle Andaman","1.0"
"Nuapada","465.0"
"Nuh","205.0"
"Osmanabad","381.0"
"Pakke Kessang","19.0"
"Pakur","261.0"
"Palakkad","308.0"
"Palamu","246.0"
"Palani","564.0"
"Palghar","394.0"
"Pali","529.0"
"Palwal","207.0"
"Panchkula","187.0"
"Panchmahal","185.0"
"Panipat","195.0"
"Panna","326.0"
"South West Delhi","150.0"
"South West Garo Hills","422.0"
"South West Khasi Hills","415.0"
"Sri Ganganagar","509.0"
"Sri Muktsar Sahib","490.0"
"Sri Potti Sriramulu Nellore","13.0"
"Srikakulam","14.0"
"Srinagar","220.0"
"Subarnapur","466.0"
"Sukma","132.0"
"Sultanpur","694.0"
"Sundargarh","453.0"
"Supaul","72.0"
"Surajpur","133.0"
"Surat","165.0"
"Surat Corporation","776.0"
"Surendranagar","157.0"
"Surguja","134.0"
"Suryapet","606.0"
"Tamenglong","404.0"
"Tapi","166.0"
"Tarn Taran","495.0"
"Tawang","30.0"
"Tehri Garhwal","701.0"
"Tengnoupal","407.0"
"Tenkasi","551.0"
"Thane","392.0"
"Thanjavur","541.0"
"Theni","569.0"
"Thiruvananthapuram","296.0"
"Thoothukudi (Tuticorin)","554.0"
"Thoubal","405.0"
"Thrissur","303.0"
"Tikamgarh","325.0"
"Tinsukia","45.0"
"Tirap","26.0"
"Tiruchirappalli","560.0"
"Tirunelveli","548.0"
"Tirupattur","550.0"
"Tiruppur","568.0"
"Tiruvallur","572.0"
"Tiruvannamalai","553.0"
"Tiruvarur","574.0"
"Tonk","526.0"
"Tuensang","440.0"
"Tumkur","288.0"
"Papum Pare","39.0"
"Paramakudi","573.0"
"Parbhani","385.0"
"Paschim Medinipore","731.0"
"Patan","161.0"
"Pathanamthitta","300.0"
"Pathankot","486.0"
"Patiala","494.0"
"Patna","97.0"
"Pauri Garhwal","698.0"
"Peddapalli","601.0"
"Perambalur","570.0"
"Peren","435.0"
"Phek","443.0"
"Pherzawl","411.0"
"Pilibhit","680.0"
"Pithoragarh","706.0"
"Poonamallee","575.0"
"Poonch","238.0"
"Porbandar","172.0"
"Prakasam","12.0"
"Pratapgarh","522.0"
"Pratapgarh","682.0"
"Prayagraj","624.0"
"Puducherry","475.0"
"Pudukkottai","546.0"
"Pulwama","227.0"
"Pune","363.0"
"Purba Medinipore","732.0"
"Puri","463.0"
"Purnia","73.0"
"Purulia","733.0"
"Raebareli","681.0"
"Raichur","284.0"
"Raigad","393.0"
"Raigarh","130.0"
"Raipur","109.0"
"Raisen","359.0"
"Rajanna Sircilla","602.0"
"Rajgarh","358.0"
"Rajkot","173.0"
"Rajkot Corporation","775.0"
"Rajnandgaon","131.0"
"Rajouri","237.0"
"Rajsamand","518.0"
"Ramanagara","292.0"
"Udaipur","504.0"
"Udalguri","65.0"
"Udham Singh Nagar","705.0"
"Udhampur","233.0"
"Udupi","286.0"
"Ujjain","318.0"
"Ukhrul","406.0"
"Umaria","329.0"
"Una","218.0"
"Unakoti","620.0"
"Unnao","695.0"
"Upper Siang","34.0"
"Upper Subansiri","41.0"
"Uttar Dinajpur","736.0"
"Uttar Kannada","281.0"
"Uttarkashi","703.0"
"Vadodara","155.0"
"Vadodara Corporation","777.0"
"Vaishali","89.0"
"Valsad","167.0"
"Varanasi","696.0"
"Vellore","543.0"
"Vidisha","355.0"
"Vijayapura","293.0"
"Vikarabad","607.0"
"Viluppuram","542.0"
"Virudhunagar","549.0"
"Visakhapatnam","8.0"
"Vizianagaram","15.0"
"Wanaparthy","608.0"
"Warangal(Rural)","609.0"
"Warangal(Urban)","610.0"
"Wardha","377.0"
"Washim","369.0"
"Wayanad","299.0"
"West Bardhaman","737.0"
"West Champaran","106.0"
"West Delhi","142.0"
"West Garo Hills","420.0"
"West Godavari","16.0"
"West Jaintia Hills","416.0"
"West Kameng","28.0"
"West Karbi Anglong","769.0"
"West Khasi Hills","419.0"
"West Siang","38.0"
"West Sikkim","536.0"
